Date,Team 1,FT,Team 2,Season
Nov 16 1963,TSV 1860 Munich,1-0,Karlsruher SC,1963-64
Nov 16 1963,Werder Bremen,4-1,Eintracht Frankfurt,1963-64
Nov 16 1963,Borussia Dortmund,9-3,1. FC Kaiserslautern,1963-64
Nov 16 1963,FC Schalke 04,1-0,Hertha BSC,1963-64
Nov 23 1963,1. FC Nürnberg,2-2,1. FC Köln,1963-64
Nov 23 1963,Hamburger SV,1-1,VfB Stuttgart,1963-64
Nov 23 1963,MSV Duisburg,3-3,Borussia Dortmund,1963-64
Nov 23 1963,Preußen Münster,2-2,FC Schalke 04,1963-64
Nov 23 1963,1. FC Kaiserslautern,2-1,Eintracht Braunschweig,1963-64
Nov 23 1963,Hertha BSC,3-2,1. FC Saarbrücken,1963-64
Nov 23 1963,Karlsruher SC,1-1,Werder Bremen,1963-64
Nov 23 1963,Eintracht Frankfurt,5-2,TSV 1860 Munich,1963-64
Nov 30 1963,1. FC Nürnberg,2-0,MSV Duisburg,1963-64
Nov 30 1963,Hertha BSC,2-3,Karlsruher SC,1963-64
Nov 30 1963,1. FC Kaiserslautern,3-2,Hamburger SV,1963-64
Nov 30 1963,VfB Stuttgart,5-0,Eintracht Braunschweig,1963-64
Nov 30 1963,Werder Bremen,0-3,1. FC Saarbrücken,1963-64
Nov 30 1963,Eintracht Frankfurt,3-0,Preußen Münster,1963-64
Nov 30 1963,FC Schalke 04,2-1,TSV 1860 Munich,1963-64
Nov 30 1963,Borussia Dortmund,2-3,1. FC Köln,1963-64
Dec 7 1963,MSV Duisburg,3-0,VfB Stuttgart,1963-64
Dec 7 1963,Preußen Münster,1-3,Werder Bremen,1963-64
Dec 7 1963,Karlsruher SC,1-1,FC Schalke 04,1963-64
Dec 7 1963,TSV 1860 Munich,1-2,Hertha BSC,1963-64
Dec 7 1963,1. FC Saarbrücken,0-4,Eintracht Frankfurt,1963-64
Dec 7 1963,1. FC Köln,5-1,1. FC Kaiserslautern,1963-64
Dec 7 1963,Eintracht Braunschweig,2-0,1. FC Nürnberg,1963-64
Dec 14 1963,Hertha BSC,2-0,Preußen Münster,1963-64
Dec 14 1963,Borussia Dortmund,3-0,Eintracht Braunschweig,1963-64
Dec 14 1963,1. FC Nürnberg,3-2,Hamburger SV,1963-64
Dec 14 1963,Eintracht Frankfurt,0-3,Karlsruher SC,1963-64
Dec 14 1963,Werder Bremen,4-1,TSV 1860 Munich,1963-64
Dec 14 1963,1. FC Kaiserslautern,1-1,MSV Duisburg,1963-64
Dec 14 1963,FC Schalke 04,4-1,1. FC Saarbrücken,1963-64
Dec 14 1963,VfB Stuttgart,0-1,1. FC Köln,1963-64
Dec 21 1963,Hamburger SV,2-1,Borussia Dortmund,1963-64
Jan 11 1964,Borussia Dortmund,4-3,Werder Bremen,1963-64
Jan 11 1964,1. FC Köln,1-3,1. FC Saarbrücken,1963-64
Jan 11 1964,1. FC Kaiserslautern,1-1,Eintracht Frankfurt,1963-64
Jan 11 1964,Hamburger SV,5-0,Preußen Münster,1963-64
Jan 11 1964,MSV Duisburg,2-0,Karlsruher SC,1963-64
Jan 11 1964,1. FC Nürnberg,2-3,Hertha BSC,1963-64
Jan 11 1964,Eintracht Braunschweig,0-1,TSV 1860 Munich,1963-64
Jan 18 1964,Preußen Münster,0-2,Eintracht Braunschweig,1963-64
Jan 18 1964,Werder Bremen,2-1,1. FC Nürnberg,1963-64
Jan 18 1964,TSV 1860 Munich,6-1,Borussia Dortmund,1963-64
Jan 18 1964,Karlsruher SC,2-2,1. FC Köln,1963-64
Jan 18 1964,FC Schalke 04,4-0,1. FC Kaiserslautern,1963-64
Jan 18 1964,Hertha BSC,0-2,VfB Stuttgart,1963-64
Jan 25 1964,Borussia Dortmund,3-0,FC Schalke 04,1963-64
Jan 25 1964,1. FC Nürnberg,1-0,Eintracht Frankfurt,1963-64
Jan 25 1964,Hamburger SV,1-1,Karlsruher SC,1963-64
Jan 25 1964,Eintracht Braunschweig,3-1,1. FC Saarbrücken,1963-64
Jan 25 1964,VfB Stuttgart,2-0,Werder Bremen,1963-64
Jan 25 1964,MSV Duisburg,0-0,Preußen Münster,1963-64
Jan 25 1964,1. FC Köln,2-2,TSV 1860 Munich,1963-64
Feb 1 1964,FC Schalke 04,2-3,1. FC Köln,1963-64
Feb 1 1964,Werder Bremen,2-0,1. FC Kaiserslautern,1963-64
Feb 1 1964,Karlsruher SC,3-1,Eintracht Braunschweig,1963-64
Feb 8 1964,VfB Stuttgart,2-0,FC Schalke 04,1963-64
Feb 8 1964,1. FC Saarbrücken,1-1,Hamburger SV,1963-64
Feb 8 1964,1. FC Kaiserslautern,3-0,Hertha BSC,1963-64
