Date,Team 1,FT,Team 2,Season
Mar 8 1969,Werder Bremen,2-1,MSV Duisburg,1968-69
Mar 8 1969,VfB Stuttgart,3-1,Alemannia Aachen,1968-69
Mar 8 1969,1. FC Köln,1-0,Hertha BSC,1968-69
Mar 8 1969,Bor. Mönchengladbach,3-0,TSV 1860 Munich,1968-69
Mar 8 1969,Bayern Munich,2-1,Eintracht Braunschweig,1968-69
Mar 11 1969,Borussia Dortmund,0-1,FC Schalke 04,1968-69
Mar 12 1969,Hertha BSC,2-0,Eintracht Frankfurt,1968-69
Mar 12 1969,Bor. Mönchengladbach,3-2,Hannover 96,1968-69
Mar 12 1969,Kickers Offenbach,4-1,1. FC Kaiserslautern,1968-69
Mar 15 1969,Hertha BSC,2-0,1. FC Nürnberg,1968-69
Mar 15 1969,Eintracht Frankfurt,1-2,1. FC Köln,1968-69
Mar 15 1969,VfB Stuttgart,3-0,Bayern Munich,1968-69
Mar 15 1969,Alemannia Aachen,1-0,1. FC Kaiserslautern,1968-69
Mar 15 1969,MSV Duisburg,2-0,Borussia Dortmund,1968-69
Mar 15 1969,FC Schalke 04,3-0,Kickers Offenbach,1968-69
Mar 15 1969,TSV 1860 Munich,2-1,Hannover 96,1968-69
Mar 21 1969,Bor. Mönchengladbach,3-0,FC Schalke 04,1968-69
Mar 22 1969,Kickers Offenbach,1-0,Hertha BSC,1968-69
Mar 22 1969,1. FC Kaiserslautern,3-1,TSV 1860 Munich,1968-69
Mar 22 1969,1. FC Nürnberg,1-0,Eintracht Frankfurt,1968-69
Mar 22 1969,Bayern Munich,1-1,Alemannia Aachen,1968-69
Mar 22 1969,Hannover 96,2-2,Hamburger SV,1968-69
Mar 22 1969,1. FC Köln,1-1,MSV Duisburg,1968-69
Mar 22 1969,Werder Bremen,1-0,VfB Stuttgart,1968-69
Mar 22 1969,Borussia Dortmund,2-1,Eintracht Braunschweig,1968-69
Mar 29 1969,Bayern Munich,6-0,Werder Bremen,1968-69
Mar 29 1969,Hamburger SV,3-1,1. FC Kaiserslautern,1968-69
Mar 29 1969,VfB Stuttgart,2-2,Borussia Dortmund,1968-69
Mar 29 1969,Hertha BSC,2-1,Bor. Mönchengladbach,1968-69
Mar 29 1969,Alemannia Aachen,4-0,TSV 1860 Munich,1968-69
Mar 29 1969,Eintracht Frankfurt,3-2,Kickers Offenbach,1968-69
Mar 29 1969,FC Schalke 04,1-1,Hannover 96,1968-69
Mar 29 1969,MSV Duisburg,1-0,1. FC Nürnberg,1968-69
Apr 3 1969,Hertha BSC,0-0,Eintracht Braunschweig,1968-69
Apr 8 1969,Eintracht Braunschweig,2-0,Alemannia Aachen,1968-69
Apr 8 1969,Werder Bremen,2-0,Hertha BSC,1968-69
Apr 9 1969,Hamburger SV,4-2,1. FC Nürnberg,1968-69
Apr 9 1969,1. FC Köln,5-2,VfB Stuttgart,1968-69
Apr 9 1969,Hannover 96,0-2,1. FC Kaiserslautern,1968-69
Apr 12 1969,Eintracht Braunschweig,2-2,Kickers Offenbach,1968-69
Apr 19 1969,Kickers Offenbach,0-0,MSV Duisburg,1968-69
Apr 19 1969,1. FC Kaiserslautern,1-1,FC Schalke 04,1968-69
Apr 19 1969,Bor. Mönchengladbach,2-3,Eintracht Frankfurt,1968-69
Apr 19 1969,1. FC Nürnberg,2-0,Eintracht Braunschweig,1968-69
Apr 19 1969,Borussia Dortmund,0-1,Bayern Munich,1968-69
Apr 19 1969,Werder Bremen,1-2,Alemannia Aachen,1968-69
Apr 19 1969,TSV 1860 Munich,3-3,Hamburger SV,1968-69
Apr 19 1969,Hannover 96,1-1,Hertha BSC,1968-69
Apr 22 1969,Eintracht Braunschweig,0-3,Werder Bremen,1968-69
Apr 26 1969,Werder Bremen,2-1,Borussia Dortmund,1968-69
Apr 26 1969,Alemannia Aachen,2-0,Hamburger SV,1968-69
Apr 26 1969,Hertha BSC,1-0,1. FC Kaiserslautern,1968-69
Apr 26 1969,VfB Stuttgart,2-3,1. FC Nürnberg,1968-69
Apr 26 1969,FC Schalke 04,2-0,TSV 1860 Munich,1968-69
Apr 26 1969,MSV Duisburg,1-1,Bor. Mönchengladbach,1968-69
Apr 26 1969,Eintracht Frankfurt,0-0,Hannover 96,1968-69
Apr 26 1969,Bayern Munich,1-0,1. FC Köln,1968-69
Apr 30 1969,1. FC Köln,4-1,Hamburger SV,1968-69
May 3 1969,Hamburger SV,2-0,Bor. Mönchengladbach,1968-69
May 3 1969,Eintracht Braunschweig,2-1,1. FC Köln,1968-69
May 3 1969,Hertha BSC,0-0,Borussia Dortmund,1968-69
May 16 1969,Borussia Dortmund,3-1,Alemannia Aachen,1968-69
May 17 1969,TSV 1860 Munich,0-1,Hertha BSC,1968-69
May 17 1969,1. FC Kaiserslautern,2-2,Eintracht Frankfurt,1968-69
May 17 1969,Hannover 96,1-1,MSV Duisburg,1968-69
May 17 1969,1. FC Köln,3-3,Werder Bremen,1968-69
May 17 1969,Bor. Mönchengladbach,1-1,Eintracht Braunschweig,1968-69
May 17 1969,Hamburger SV,1-3,FC Schalke 04,1968-69
May 17 1969,Kickers Offenbach,2-1,VfB Stuttgart,1968-69
May 17 1969,1. FC Nürnberg,2-0,Bayern Munich,1968-69
May 23 1969,Eintracht Braunschweig,3-3,Hannover 96,1968-69
May 23 1969,Werder Bremen,3-3,1. FC Nürnberg,1968-69
May 23 1969,Eintracht Frankfurt,3-0,TSV 1860 Munich,1968-69
May 24 1969,Bayern Munich,5-1,Kickers Offenbach,1968-69
May 24 1969,Hertha BSC,3-2,Hamburger SV,1968-69
May 24 1969,FC Schalke 04,3-1,Alemannia Aachen,1968-69
May 24 1969,1. FC Köln,2-1,Borussia Dortmund,1968-69
May 24 1969,VfB Stuttgart,0-3,Bor. Mönchengladbach,1968-69
May 24 1969,MSV Duisburg,0-0,1. FC Kaiserslautern,1968-69
May 30 1969,1. FC Kaiserslautern,4-0,Eintracht Braunschweig,1968-69
May 31 1969,Kickers Offenbach,0-3,Werder Bremen,1968-69
May 31 1969,Hannover 96,1-0,VfB Stuttgart,1968-69
May 31 1969,Alemannia Aachen,2-1,1. FC Köln,1968-69
May 31 1969,Bor. Mönchengladbach,1-1,Bayern Munich,1968-69
May 31 1969,1. FC Nürnberg,2-2,Borussia Dortmund,1968-69
May 31 1969,Hamburger SV,1-4,Eintracht Frankfurt,1968-69
May 31 1969,TSV 1860 Munich,2-1,MSV Duisburg,1968-69
May 31 1969,FC Schalke 04,2-0,Hertha BSC,1968-69
Jun 7 1969,Werder Bremen,6-5,Bor. Mönchengladbach,1968-69
Jun 7 1969,1. FC Köln,3-0,1. FC Nürnberg,1968-69
Jun 7 1969,Hertha BSC,0-1,Alemannia Aachen,1968-69
Jun 7 1969,MSV Duisburg,0-0,Hamburger SV,1968-69
Jun 7 1969,Eintracht Frankfurt,1-0,FC Schalke 04,1968-69
Jun 7 1969,Eintracht Braunschweig,2-1,TSV 1860 Munich,1968-69
Jun 7 1969,Bayern Munich,2-1,Hannover 96,1968-69
Jun 7 1969,VfB Stuttgart,4-3,1. FC Kaiserslautern,1968-69
Jun 7 1969,Borussia Dortmund,3-0,Kickers Offenbach,1968-69
Aug 16 1969,Alemannia Aachen,0-0,TSV 1860 Munich,1969-70
Aug 16 1969,FC Schalke 04,2-0,Bor. Mönchengladbach,1969-70
Aug 16 1969,Hertha BSC,1-0,MSV Duisburg,1969-70
Aug 16 1969,Rot-Weiß Oberhausen,3-1,Eintracht Frankfurt,1969-70
Aug 16 1969,VfB Stuttgart,1-1,Werder Bremen,1969-70
Aug 16 1969,Hamburger SV,2-1,1. FC Kaiserslautern,1969-70
Aug 16 1969,1. FC Köln,3-2,Eintracht Braunschweig,1969-70
Aug 16 1969,Hannover 96,4-2,Borussia Dortmund,1969-70
Aug 16 1969,Bayern Munich,4-0,Rot-Weiss Essen,1969-70
Aug 22 1969,Eintracht Frankfurt,2-1,FC Schalke 04,1969-70
Aug 23 1969,1. FC Kaiserslautern,0-0,Rot-Weiß Oberhausen,1969-70
Aug 23 1969,TSV 1860 Munich,2-0,Hertha BSC,1969-70
Aug 23 1969,Bor. Mönchengladbach,2-1,Bayern Munich,1969-70
Aug 23 1969,Werder Bremen,2-1,1. FC Köln,1969-70
Aug 23 1969,MSV Duisburg,1-1,VfB Stuttgart,1969-70
Aug 23 1969,Eintracht Braunschweig,1-1,Hannover 96,1969-70
Aug 23 1969,Borussia Dortmund,2-1,Hamburger SV,1969-70
Aug 23 1969,Rot-Weiss Essen,2-0,Alemannia Aachen,1969-70
Aug 27 1969,Bayern Munich,2-1,Eintracht Frankfurt,1969-70
Aug 29 1969,1. FC Köln,6-2,MSV Duisburg,1969-70
Aug 30 1969,Hertha BSC,2-1,Alemannia Aachen,1969-70
Aug 30 1969,Rot-Weiß Oberhausen,2-1,Borussia Dortmund,1969-70
Aug 30 1969,Hannover 96,3-2,Werder Bremen,1969-70
Aug 30 1969,Hamburger SV,3-3,Eintracht Braunschweig,1969-70
Aug 30 1969,Bor. Mönchengladbach,2-1,Rot-Weiss Essen,1969-70
Aug 30 1969,FC Schalke 04,4-2,1. FC Kaiserslautern,1969-70
Aug 30 1969,VfB Stuttgart,3-1,TSV 1860 Munich,1969-70
Sep 5 1969,Eintracht Frankfurt,1-2,Bor. Mönchengladbach,1969-70
Sep 5 1969,MSV Duisburg,1-0,Hannover 96,1969-70
Sep 6 1969,1. FC Kaiserslautern,0-0,Bayern Munich,1969-70
Sep 6 1969,TSV 1860 Munich,1-0,1. FC Köln,1969-70
Sep 6 1969,Rot-Weiss Essen,5-2,Hertha BSC,1969-70
Sep 6 1969,Eintracht Braunschweig,0-4,Rot-Weiß Oberhausen,1969-70
Sep 6 1969,Werder Bremen,1-1,Hamburger SV,1969-70
Sep 6 1969,Alemannia Aachen,4-2,VfB Stuttgart,1969-70
Sep 6 1969,Borussia Dortmund,1-1,FC Schalke 04,1969-70
Sep 12 1969,Eintracht Frankfurt,2-1,Rot-Weiss Essen,1969-70
Sep 12 1969,Bor. Mönchengladbach,1-1,1. FC Kaiserslautern,1969-70
Sep 12 1969,Bayern Munich,3-0,Borussia Dortmund,1969-70
Sep 13 1969,Hamburger SV,4-1,MSV Duisburg,1969-70
Sep 13 1969,Rot-Weiß Oberhausen,3-1,Werder Bremen,1969-70
Sep 13 1969,FC Schalke 04,1-1,Eintracht Braunschweig,1969-70
Sep 13 1969,1. FC Köln,3-0,Alemannia Aachen,1969-70
Sep 13 1969,Hannover 96,3-1,TSV 1860 Munich,1969-70
Sep 13 1969,VfB Stuttgart,1-4,Hertha BSC,1969-70
Sep 26 1969,Hertha BSC,1-0,1. FC Köln,1969-70
Sep 26 1969,MSV Duisburg,2-1,Rot-Weiß Oberhausen,1969-70
Sep 27 1969,TSV 1860 Munich,0-2,Hamburger SV,1969-70
Sep 27 1969,Eintracht Braunschweig,0-4,Bayern Munich,1969-70
Sep 27 1969,Werder Bremen,0-1,FC Schalke 04,1969-70
Sep 27 1969,Rot-Weiss Essen,3-3,VfB Stuttgart,1969-70
Sep 27 1969,1. FC Kaiserslautern,2-0,Eintracht Frankfurt,1969-70
Sep 27 1969,Borussia Dortmund,2-1,Bor. Mönchengladbach,1969-70
Sep 27 1969,Alemannia Aachen,1-1,Hannover 96,1969-70
Oct 3 1969,Eintracht Frankfurt,2-0,Borussia Dortmund,1969-70
Oct 4 1969,Hamburger SV,4-1,Alemannia Aachen,1969-70
Oct 4 1969,Hannover 96,2-1,Hertha BSC,1969-70
Oct 4 1969,Bor. Mönchengladbach,1-0,Eintracht Braunschweig,1969-70
Oct 4 1969,1. FC Köln,3-1,VfB Stuttgart,1969-70
Oct 4 1969,1. FC Kaiserslautern,0-0,Rot-Weiss Essen,1969-70
Oct 4 1969,Bayern Munich,4-1,Werder Bremen,1969-70
Oct 4 1969,Rot-Weiß Oberhausen,3-0,TSV 1860 Munich,1969-70
Oct 4 1969,FC Schalke 04,0-0,MSV Duisburg,1969-70
Oct 10 1969,MSV Duisburg,4-2,Bayern Munich,1969-70
Oct 10 1969,TSV 1860 Munich,0-2,FC Schalke 04,1969-70
Oct 11 1969,Borussia Dortmund,5-1,1. FC Kaiserslautern,1969-70
Oct 11 1969,Alemannia Aachen,2-0,Rot-Weiß Oberhausen,1969-70
Oct 11 1969,Werder Bremen,0-0,Bor. Mönchengladbach,1969-70
Oct 11 1969,Hertha BSC,1-0,Hamburger SV,1969-70
Oct 11 1969,Eintracht Braunschweig,3-1,Eintracht Frankfurt,1969-70
Oct 11 1969,VfB Stuttgart,2-1,Hannover 96,1969-70
Oct 11 1969,Rot-Weiss Essen,0-0,1. FC Köln,1969-70
Oct 15 1969,Bor. Mönchengladbach,4-1,MSV Duisburg,1969-70
Oct 15 1969,Eintracht Frankfurt,2-1,Werder Bremen,1969-70
Oct 15 1969,Hamburger SV,1-3,VfB Stuttgart,1969-70
Oct 15 1969,1. FC Kaiserslautern,2-0,Eintracht Braunschweig,1969-70
Oct 15 1969,Rot-Weiß Oberhausen,3-1,Hertha BSC,1969-70
Oct 15 1969,Borussia Dortmund,4-1,Rot-Weiss Essen,1969-70
Oct 15 1969,FC Schalke 04,3-0,Alemannia Aachen,1969-70
Oct 15 1969,Hannover 96,3-4,1. FC Köln,1969-70
Oct 18 1969,Bayern Munich,2-0,TSV 1860 Munich,1969-70
Oct 24 1969,MSV Duisburg,1-1,Eintracht Frankfurt,1969-70
Oct 25 1969,VfB Stuttgart,4-2,Rot-Weiß Oberhausen,1969-70
Oct 25 1969,Werder Bremen,3-2,1. FC Kaiserslautern,1969-70
Oct 25 1969,1. FC Köln,3-0,Hamburger SV,1969-70
Oct 25 1969,Eintracht Braunschweig,1-1,Borussia Dortmund,1969-70
Oct 25 1969,Rot-Weiss Essen,1-0,Hannover 96,1969-70
Oct 25 1969,Hertha BSC,3-0,FC Schalke 04,1969-70
Oct 25 1969,TSV 1860 Munich,0-3,Bor. Mönchengladbach,1969-70
Oct 25 1969,Alemannia Aachen,1-3,Bayern Munich,1969-70
Oct 30 1969,Bayern Munich,1-2,Hertha BSC,1969-70
Oct 31 1969,Borussia Dortmund,2-1,Werder Bremen,1969-70
Oct 31 1969,FC Schalke 04,1-2,VfB Stuttgart,1969-70
Oct 31 1969,Bor. Mönchengladbach,5-1,Alemannia Aachen,1969-70
Nov 1 1969,Eintracht Frankfurt,4-3,TSV 1860 Munich,1969-70
Nov 1 1969,Hamburger SV,2-0,Hannover 96,1969-70
Nov 1 1969,Eintracht Braunschweig,0-0,Rot-Weiss Essen,1969-70
Nov 1 1969,1. FC Kaiserslautern,0-2,MSV Duisburg,1969-70
Nov 2 1969,Rot-Weiß Oberhausen,0-2,1. FC Köln,1969-70
Nov 7 1969,MSV Duisburg,0-1,Borussia Dortmund,1969-70
Nov 7 1969,TSV 1860 Munich,0-1,1. FC Kaiserslautern,1969-70
Nov 8 1969,Hannover 96,2-1,Rot-Weiß Oberhausen,1969-70
Nov 8 1969,Werder Bremen,0-1,Eintracht Braunschweig,1969-70
Nov 8 1969,Rot-Weiss Essen,2-2,Hamburger SV,1969-70
Nov 8 1969,1. FC Köln,8-0,FC Schalke 04,1969-70
Nov 8 1969,Alemannia Aachen,2-1,Eintracht Frankfurt,1969-70
Nov 8 1969,Hertha BSC,1-1,Bor. Mönchengladbach,1969-70
Nov 8 1969,VfB Stuttgart,2-3,Bayern Munich,1969-70
Nov 15 1969,Eintracht Braunschweig,2-1,MSV Duisburg,1969-70
Nov 15 1969,Eintracht Frankfurt,1-1,Hertha BSC,1969-70
Nov 15 1969,Werder Bremen,2-1,Rot-Weiss Essen,1969-70
Nov 15 1969,FC Schalke 04,2-0,Hannover 96,1969-70
Nov 15 1969,1. FC Kaiserslautern,3-1,Alemannia Aachen,1969-70
Nov 15 1969,Bor. Mönchengladbach,3-0,VfB Stuttgart,1969-70
Nov 15 1969,Bayern Munich,1-2,1. FC Köln,1969-70
Nov 15 1969,Borussia Dortmund,3-1,TSV 1860 Munich,1969-70
Nov 15 1969,Rot-Weiß Oberhausen,1-3,Hamburger SV,1969-70
Nov 28 1969,MSV Duisburg,1-1,Werder Bremen,1969-70
Nov 28 1969,Alemannia Aachen,3-1,Borussia Dortmund,1969-70
Nov 29 1969,Rot-Weiss Essen,1-0,Rot-Weiß Oberhausen,1969-70
Nov 29 1969,Hannover 96,0-1,Bayern Munich,1969-70
Nov 29 1969,TSV 1860 Munich,1-0,Eintracht Braunschweig,1969-70
Nov 29 1969,VfB Stuttgart,4-0,Eintracht Frankfurt,1969-70
Nov 29 1969,Hamburger SV,1-1,FC Schalke 04,1969-70
Nov 29 1969,Hertha BSC,3-0,1. FC Kaiserslautern,1969-70
Nov 29 1969,1. FC Köln,0-1,Bor. Mönchengladbach,1969-70
Dec 5 1969,Eintracht Braunschweig,3-0,Alemannia Aachen,1969-70
Dec 5 1969,Bor. Mönchengladbach,5-0,Hannover 96,1969-70
Dec 5 1969,Borussia Dortmund,0-0,Hertha BSC,1969-70
Dec 6 1969,Rot-Weiss Essen,0-0,MSV Duisburg,1969-70
Dec 6 1969,Bayern Munich,2-1,Hamburger SV,1969-70
Dec 6 1969,Eintracht Frankfurt,0-0,1. FC Köln,1969-70
Dec 6 1969,1. FC Kaiserslautern,3-2,VfB Stuttgart,1969-70
Dec 6 1969,Werder Bremen,1-1,TSV 1860 Munich,1969-70
Dec 6 1969,Rot-Weiß Oberhausen,0-3,FC Schalke 04,1969-70
Dec 12 1969,Alemannia Aachen,0-0,Werder Bremen,1969-70
Dec 12 1969,Hertha BSC,2-0,Eintracht Braunschweig,1969-70
Dec 13 1969,Hamburger SV,1-3,Bor. Mönchengladbach,1969-70
Dec 13 1969,Hannover 96,1-1,Eintracht Frankfurt,1969-70
Dec 13 1969,VfB Stuttgart,2-1,Borussia Dortmund,1969-70
Dec 13 1969,FC Schalke 04,5-3,Rot-Weiss Essen,1969-70
Dec 13 1969,Rot-Weiß Oberhausen,3-3,Bayern Munich,1969-70
Dec 13 1969,TSV 1860 Munich,2-2,MSV Duisburg,1969-70
Dec 13 1969,1. FC Köln,6-1,1. FC Kaiserslautern,1969-70
Dec 19 1969,Borussia Dortmund,1-0,1. FC Köln,1969-70
Dec 19 1969,Bor. Mönchengladbach,6-1,Rot-Weiß Oberhausen,1969-70
Dec 19 1969,1. FC Kaiserslautern,5-2,Hannover 96,1969-70
Dec 20 1969,Eintracht Braunschweig,1-0,VfB Stuttgart,1969-70
Dec 20 1969,Eintracht Frankfurt,2-2,Hamburger SV,1969-70
Dec 20 1969,Werder Bremen,1-0,Hertha BSC,1969-70
Dec 20 1969,Rot-Weiss Essen,3-0,TSV 1860 Munich,1969-70
Dec 20 1969,MSV Duisburg,2-1,Alemannia Aachen,1969-70
Jan 17 1970,Rot-Weiß Oberhausen,0-0,1. FC Kaiserslautern,1969-70
Jan 17 1970,FC Schalke 04,0-0,Eintracht Frankfurt,1969-70
Jan 17 1970,Alemannia Aachen,0-0,Rot-Weiss Essen,1969-70
Jan 24 1970,Alemannia Aachen,2-4,Hertha BSC,1969-70
Jan 24 1970,TSV 1860 Munich,4-1,VfB Stuttgart,1969-70
Jan 24 1970,Borussia Dortmund,3-2,Rot-Weiß Oberhausen,1969-70
Jan 31 1970,1. FC Köln,2-1,TSV 1860 Munich,1969-70
Jan 31 1970,FC Schalke 04,1-1,Borussia Dortmund,1969-70
Jan 31 1970,Rot-Weiß Oberhausen,2-1,Eintracht Braunschweig,1969-70
Jan 31 1970,Hannover 96,0-0,MSV Duisburg,1969-70
Jan 31 1970,VfB Stuttgart,5-0,Alemannia Aachen,1969-70
Jan 31 1970,Bor. Mönchengladbach,1-2,Eintracht Frankfurt,1969-70
Jan 31 1970,Bayern Munich,1-1,1. FC Kaiserslautern,1969-70
Feb 7 1970,1. FC Kaiserslautern,1-4,Bor. Mönchengladbach,1969-70
Feb 7 1970,TSV 1860 Munich,3-0,Hannover 96,1969-70
Feb 7 1970,Alemannia Aachen,1-3,1. FC Köln,1969-70
Feb 7 1970,Borussia Dortmund,1-3,Bayern Munich,1969-70
Feb 7 1970,Rot-Weiss Essen,1-1,Eintracht Frankfurt,1969-70
Feb 7 1970,MSV Duisburg,0-0,Hamburger SV,1969-70
Feb 7 1970,Werder Bremen,1-1,Rot-Weiß Oberhausen,1969-70
Feb 14 1970,Bayern Munich,5-1,Eintracht Braunschweig,1969-70
Feb 14 1970,VfB Stuttgart,4-1,Rot-Weiss Essen,1969-70
Feb 14 1970,1. FC Köln,5-1,Hertha BSC,1969-70
Feb 14 1970,Eintracht Frankfurt,2-1,1. FC Kaiserslautern,1969-70
Feb 14 1970,Hamburger SV,0-1,TSV 1860 Munich,1969-70
Feb 14 1970,Bor. Mönchengladbach,4-2,Borussia Dortmund,1969-70
Feb 18 1970,Eintracht Braunschweig,3-0,FC Schalke 04,1969-70
Feb 21 1970,MSV Duisburg,2-0,FC Schalke 04,1969-70
Feb 21 1970,TSV 1860 Munich,4-1,Rot-Weiß Oberhausen,1969-70
Feb 21 1970,VfB Stuttgart,0-3,1. FC Köln,1969-70
Feb 25 1970,Bayern Munich,6-0,FC Schalke 04,1969-70
Feb 25 1970,Hertha BSC,4-0,Rot-Weiss Essen,1969-70
Feb 28 1970,Eintracht Frankfurt,0-0,Eintracht Braunschweig,1969-70
Feb 28 1970,1. FC Kaiserslautern,2-2,Borussia Dortmund,1969-70
Feb 28 1970,1. FC Köln,5-2,Rot-Weiss Essen,1969-70
Feb 28 1970,Bor. Mönchengladbach,1-0,Werder Bremen,1969-70
Feb 28 1970,Bayern Munich,2-0,MSV Duisburg,1969-70
Feb 28 1970,FC Schalke 04,3-1,TSV 1860 Munich,1969-70
Feb 28 1970,Rot-Weiß Oberhausen,1-0,Alemannia Aachen,1969-70
Feb 28 1970,Hannover 96,2-0,VfB Stuttgart,1969-70
Mar 3 1970,Eintracht Frankfurt,2-1,Bayern Munich,1969-70
Mar 3 1970,Hannover 96,0-2,Eintracht Braunschweig,1969-70
Mar 7 1970,VfB Stuttgart,1-1,Hamburger SV,1969-70
Mar 7 1970,Alemannia Aachen,1-2,FC Schalke 04,1969-70
Mar 7 1970,Werder Bremen,3-2,Eintracht Frankfurt,1969-70
Mar 7 1970,1. FC Köln,5-0,Hannover 96,1969-70
Mar 7 1970,TSV 1860 Munich,2-1,Bayern Munich,1969-70
Mar 7 1970,Eintracht Braunschweig,1-0,1. FC Kaiserslautern,1969-70
Mar 7 1970,MSV Duisburg,0-1,Bor. Mönchengladbach,1969-70
Mar 7 1970,Rot-Weiss Essen,3-3,Borussia Dortmund,1969-70
Mar 10 1970,MSV Duisburg,1-3,Hertha BSC,1969-70
Mar 10 1970,Werder Bremen,1-1,VfB Stuttgart,1969-70
Mar 10 1970,Rot-Weiss Essen,1-1,Bayern Munich,1969-70
Mar 10 1970,Eintracht Braunschweig,1-2,1. FC Köln,1969-70
Mar 10 1970,TSV 1860 Munich,0-0,Alemannia Aachen,1969-70
Mar 10 1970,Borussia Dortmund,2-1,Hannover 96,1969-70
Mar 11 1970,Bor. Mönchengladbach,2-0,FC Schalke 04,1969-70
Mar 14 1970,Eintracht Frankfurt,0-1,MSV Duisburg,1969-70
Mar 14 1970,Rot-Weiß Oberhausen,3-0,VfB Stuttgart,1969-70
Mar 14 1970,1. FC Kaiserslautern,1-0,Werder Bremen,1969-70
Mar 14 1970,Bayern Munich,6-0,Alemannia Aachen,1969-70
Mar 14 1970,Bor. Mönchengladbach,3-1,TSV 1860 Munich,1969-70
Mar 14 1970,Borussia Dortmund,2-2,Eintracht Braunschweig,1969-70
Mar 14 1970,Hannover 96,3-0,Rot-Weiss Essen,1969-70
Mar 14 1970,Hamburger SV,2-5,1. FC Köln,1969-70
Mar 14 1970,FC Schalke 04,1-3,Hertha BSC,1969-70
Mar 18 1970,Hamburger SV,4-3,Borussia Dortmund,1969-70
Mar 18 1970,Eintracht Frankfurt,5-1,Rot-Weiß Oberhausen,1969-70
Mar 18 1970,1. FC Köln,3-0,Werder Bremen,1969-70
Mar 18 1970,VfB Stuttgart,4-3,MSV Duisburg,1969-70
Mar 21 1970,1. FC Köln,0-1,Rot-Weiß Oberhausen,1969-70
Mar 21 1970,VfB Stuttgart,2-0,FC Schalke 04,1969-70
Mar 21 1970,Alemannia Aachen,0-3,Bor. Mönchengladbach,1969-70
Mar 21 1970,Werder Bremen,1-3,Borussia Dortmund,1969-70
Mar 21 1970,Hertha BSC,0-4,Bayern Munich,1969-70
Mar 21 1970,MSV Duisburg,0-0,1. FC Kaiserslautern,1969-70
Mar 21 1970,Hannover 96,1-1,Hamburger SV,1969-70
Mar 24 1970,Eintracht Braunschweig,0-1,Bor. Mönchengladbach,1969-70
Mar 25 1970,Hertha BSC,4-2,TSV 1860 Munich,1969-70
Mar 25 1970,FC Schalke 04,0-0,Werder Bremen,1969-70
Mar 28 1970,Borussia Dortmund,3-1,MSV Duisburg,1969-70
Mar 28 1970,FC Schalke 04,1-0,1. FC Köln,1969-70
Mar 28 1970,1. FC Kaiserslautern,3-2,TSV 1860 Munich,1969-70
Mar 28 1970,Bayern Munich,1-2,VfB Stuttgart,1969-70
Mar 28 1970,Bor. Mönchengladbach,1-1,Hertha BSC,1969-70
Mar 28 1970,Eintracht Braunschweig,1-2,Werder Bremen,1969-70
Mar 28 1970,Hamburger SV,1-0,Rot-Weiss Essen,1969-70
Mar 28 1970,Rot-Weiß Oberhausen,0-0,Hannover 96,1969-70
Mar 30 1970,Eintracht Frankfurt,6-2,Alemannia Aachen,1969-70
Apr 1 1970,1. FC Kaiserslautern,1-1,Hamburger SV,1969-70
Apr 1 1970,Werder Bremen,1-0,Hannover 96,1969-70
Apr 1 1970,Hertha BSC,1-0,Rot-Weiß Oberhausen,1969-70
Apr 4 1970,1. FC Köln,0-2,Bayern Munich,1969-70
Apr 4 1970,Hamburger SV,2-1,Rot-Weiß Oberhausen,1969-70
Apr 4 1970,MSV Duisburg,1-0,Eintracht Braunschweig,1969-70
Apr 4 1970,Hertha BSC,2-0,Eintracht Frankfurt,1969-70
Apr 4 1970,VfB Stuttgart,0-0,Bor. Mönchengladbach,1969-70
Apr 4 1970,Hannover 96,3-1,FC Schalke 04,1969-70
Apr 7 1970,Hertha BSC,1-1,Hannover 96,1969-70
Apr 7 1970,Alemannia Aachen,0-2,Hamburger SV,1969-70
Apr 8 1970,TSV 1860 Munich,3-0,Borussia Dortmund,1969-70
Apr 11 1970,1. FC Kaiserslautern,1-0,Hertha BSC,1969-70
Apr 11 1970,Bor. Mönchengladbach,2-0,1. FC Köln,1969-70
Apr 11 1970,Eintracht Frankfurt,4-0,VfB Stuttgart,1969-70
Apr 11 1970,FC Schalke 04,1-1,Hamburger SV,1969-70
Apr 11 1970,Borussia Dortmund,3-1,Alemannia Aachen,1969-70
Apr 11 1970,Bayern Munich,7-2,Hannover 96,1969-70
Apr 11 1970,Werder Bremen,0-0,MSV Duisburg,1969-70
Apr 11 1970,Eintracht Braunschweig,2-2,TSV 1860 Munich,1969-70
Apr 11 1970,Rot-Weiß Oberhausen,1-1,Rot-Weiss Essen,1969-70
Apr 14 1970,Hamburger SV,2-2,Werder Bremen,1969-70
Apr 14 1970,MSV Duisburg,1-1,1. FC Köln,1969-70
Apr 15 1970,Rot-Weiss Essen,1-1,Eintracht Braunschweig,1969-70
Apr 15 1970,Borussia Dortmund,2-1,Eintracht Frankfurt,1969-70
Apr 15 1970,Alemannia Aachen,1-1,1. FC Kaiserslautern,1969-70
Apr 15 1970,Bayern Munich,1-0,Bor. Mönchengladbach,1969-70
Apr 18 1970,TSV 1860 Munich,0-1,Werder Bremen,1969-70
Apr 18 1970,Hertha BSC,9-1,Borussia Dortmund,1969-70
Apr 18 1970,Hamburger SV,1-3,Bayern Munich,1969-70
